author,track
Научно техническое R&B, Научно-технический рэп
Izanai, Roce
Сто колыбельных, TERELYA
Потеряна в Росии, Саатурн
Sakurajuma, GO!GO!7188
Ce soir, Kumisolo
R U Mine?, Arctic Monkeys
Adored, Laurel
Resist, Kotone
Басё, ХХОС
Pressrun, Crypt Voice
Я девопс, the CI/CD band
Saa, Surface
Under Control, Good Shoes
Герой моих детских грёз, Аффинаж
Keiner so wie du, Karina Rose-Ikarus
Eternal Spring, Yabai The Maid
Regenerate Like Vampire, BABUSHKAA
Стрелой, Ночная лента
Remote Controller, Sheena Ringo
Раньше, Apolly-swanmortuus
Tank!, Seatbelts
The Orb, Daniel Deluxe
Trust Me... I`m A Genius, The Family Rain
トオトロジイダウトフル, ツミキ
Ты выбираешь чудеса, Beatiful Boys
Evil Eye, Franz Ferdinand
Rene, GasteL
Банши, ЛЮТИК
Your Sweet Neck, The Moog
